id;name;url
59;Dresden Fernsehen;https://dresden.iptv-playoutcenter.de/dresden/dresdenfernsehen.stream_1/playlist.m3u8
60;ems TV;http://62.113.221.6/ev1tv-live/livestream/master.m3u8
61;erzTV Erzgebirge;https://5acade5fc0c29.streamlock.net/kabeljournal/live2020.stream/chunklist_w585202401.m3u8
62;Filstalwelle (Göppingen);http://62.113.210.2/filstalwelle-live/_definst_/mp4:livestream/master.m3u8
63;Franken Fernsehen;https://s3.welocal.world/frankenfernsehen/media/191627/videos/hls.m3u8
64;Hannover 1;https://5857499ee635b.streamlock.net/heinstv-live/_definst_/smil:livestream.smil/chunklist.m3u8
65;HauptstadtTV;https://live2.telvi.de/hls/hauptstadttv_hd720.m3u8
66;KabelJournal;https://5acade5fc0c29.streamlock.net/kabeljournal/live2020.stream/playlist.m3u8
67;Kulturmd TV;https://h056.video-stream-hosting.de/medienasa-live/_definst_/mp4:kulturmd_high/master.m3u8
68;L-TV;https://58481b709ae2e.streamlock.net/tv2000plus-live/_definst_/mp4:ltv-live/playlist.m3u8
69;Lausitzwelle Fernsehen;https://5856e1a25f71a.streamlock.net/easycast9-live/_definst_/livestreamhd10/playlist.m3u8
70;Leipzig Fernsehen;https://leipzig.iptv-playoutcenter.de/leipzig/leipzigfernsehen.stream_1/playlist.m3u8
71;Mainfranken.tv;https://stream01.welocal.stream/stream/fhd-tvmainfranken_255661/ngrp:stream_all/master.m3u8
72;MDF 1;https://h056.video-stream-hosting.de/medienasa-live/_definst_/mp4:mdf1_high/playlist.m3u8
73;münchen.tv;https://muenchentv.iptv-playoutcenter.de/muenchentv/muenchentv.stream_1/playlist.m3u8
74;Niederbayern TV;https://stream03.welocal.stream/stream/sat-nby/ngrp:sat-nby.stream_all/master.m3u8
75;noa4 Hamburg HD;https://hls1.wtnet.de/noa4hh/apple/wifi6500.m3u8
76;noa4 Norderstedt HD;https://hls1.wtnet.de/noa4/apple/wifi6500.m3u8
77;nrwision;https://fms.nrwision.de/live/livestreamHD.stream_360p/playlist.m3u8
78;Oberpfalz TV;https://oberpfalztv.iptv-playoutcenter.de/oberpfalztv/oberpfalztv.stream_1/playlist.m3u8
79;OFTV (Offenbach);https://5864df9ceac85.streamlock.net/germanpictures-live/_definst_/mp4:streamschedule/playlist.m3u8?&ref=www.of-tv.de&seid=503585
80;OK Dessau;https://h056.video-stream-hosting.de/medienasa-live/_definst_/mp4:ok-dessau_high/playlist.m3u8
81;OK Koblenz;https://s.ok54.de/abr_ok4/live/ok4/live_720p/chunks.m3u8
82;Ok Ludwigshafen;https://s.ok54.de/oklu/livestream/playlist.m3u8
83;OK Magdeburg;https://h056.video-stream-hosting.de/medienasa-live/_definst_/mp4:ok-magdeburg_high/master.m3u8
84;OK Merseburg;https://h056.video-stream-hosting.de/medienasa-live/_definst_/mp4:ok-merseburg_high/master.m3u8
85;OK naheTV offener Kanal (Bad Kreuznach/Idar-Oberstein);https://s.ok54.de/nahetv/webstream/playlist.m3u8
86;OK RheinLokal;https://s.ok54.de/rheinlokal/rheinlOKal_stream/playlist.m3u8
87;OK Salzwedel;https://h056.video-stream-hosting.de/medienasa-live/_definst_/mp4:ok-salzwedel_high/master.m3u8
